"DateTime";"Players";"Average Players";"Flags"
"2022-12-15 00:00:00";21802;14459;
"2022-12-16 00:00:00";22274;15070;
"2022-12-17 00:00:00";23480;16663;
"2022-12-18 00:00:00";22003;15489;
"2022-12-19 00:00:00";21922;14260;
"2022-12-20 00:00:00";22613;15173;
"2022-12-21 00:00:00";22237;15234;
"2022-12-22 00:00:00";22497;15575;
"2022-12-23 00:00:00";24043;16462;
"2022-12-24 00:00:00";24413;17743;
"2022-12-25 00:00:00";21516;16205;
"2022-12-26 00:00:00";21228;15075;
"2022-12-27 00:00:00";20945;15055;
"2022-12-28 00:00:00";21125;14998;
"2022-12-29 00:00:00";21063;15062;
"2022-12-30 00:00:00";22189;15579;
"2022-12-31 00:00:00";21736;16031;
"2023-01-01 00:00:00";19850;14244;
"2023-01-02 00:00:00";19715;14160;
"2023-01-03 00:00:00";18930;13498;
"2023-01-04 00:00:00";18814;13305;
"2023-01-05 00:00:00";18980;13103;
"2023-01-06 00:00:00";20292;13866;
"2023-01-07 00:00:00";21344;15363;
"2023-01-08 00:00:00";19727;14887;
"2023-01-09 00:00:00";18019;12231;
"2023-01-10 00:00:00";18098;12191;
"2023-01-11 00:00:00";17726;11973;
"2023-01-12 00:00:00";18126;12127;
"2023-01-13 00:00:00";19161;12951;
"2023-01-14 00:00:00";20972;14918;
"2023-01-15 00:00:00";19534;14611;
"2023-01-16 00:00:00";18007;12189;
"2023-01-17 00:00:00";17846;12120;
"2023-01-18 00:00:00";17891;12191;
"2023-01-19 00:00:00";17804;12241;
"2023-01-20 00:00:00";19493;13132;
"2023-01-21 00:00:00";20792;14889;
"2023-01-22 00:00:00";20003;14516;
"2023-01-23 00:00:00";17506;12279;
"2023-01-24 00:00:00";18206;12060;
"2023-01-25 00:00:00";17659;11905;
"2023-01-26 00:00:00";17493;11933;
"2023-01-27 00:00:00";17989;12302;
"2023-01-28 00:00:00";19552;13928;
"2023-01-29 00:00:00";18714;13617;
"2023-01-30 00:00:00";16733;11327;
"2023-01-31 00:00:00";16793;11395;
"2023-02-01 00:00:00";16297;11362;
"2023-02-02 00:00:00";16484;11367;
"2023-02-03 00:00:00";17538;11802;
"2023-02-04 00:00:00";19192;13477;
"2023-02-05 00:00:00";18545;13439;
"2023-02-06 00:00:00";15958;10717;
"2023-02-07 00:00:00";15576;10589;
"2023-02-08 00:00:00";15798;10541;
"2023-02-09 00:00:00";15847;10644;
"2023-02-10 00:00:00";16432;11150;
"2023-02-11 00:00:00";18007;12762;
"2023-02-12 00:00:00";17347;12603;
"2023-02-13 00:00:00";14753;9978;
"2023-02-14 00:00:00";14792;9647;
"2023-02-15 00:00:00";15137;9954;
"2023-02-16 00:00:00";15582;10306;
"2023-02-17 00:00:00";16606;11165;
"2023-02-18 00:00:00";17869;12718;
"2023-02-19 00:00:00";17213;12475;
"2023-02-20 00:00:00";15872;10597;
"2023-02-21 00:00:00";16433;10509;
"2023-02-22 00:00:00";15768;10421;
"2023-02-23 00:00:00";15622;10473;
"2023-02-24 00:00:00";16543;11178;
"2023-02-25 00:00:00";17722;12967;
"2023-02-26 00:00:00";17222;12677;
"2023-02-27 00:00:00";14973;9934;
"2023-02-28 00:00:00";14778;9876;
"2023-03-01 00:00:00";14386;9610;
"2023-03-02 00:00:00";14674;9566;
"2023-03-03 00:00:00";15342;10337;
"2023-03-04 00:00:00";17409;12384;
"2023-03-05 00:00:00";17091;12251;
"2023-03-06 00:00:00";13967;9361;
"2023-03-07 00:00:00";14331;9293;
"2023-03-08 00:00:00";13970;9140;
"2023-03-09 00:00:00";14236;9396;
"2023-03-10 00:00:00";15350;10208;
"2023-03-11 00:00:00";17443;12399;
"2023-03-12 00:00:00";17026;12063;
"2023-03-13 00:00:00";13798;9198;
"2023-03-14 00:00:00";13311;8578;
"2023-03-15 00:00:00";14344;9165;
"2023-03-16 00:00:00";13728;9123;
"2023-03-17 00:00:00";14944;9933;
"2023-03-18 00:00:00";16702;11928;
"2023-03-19 00:00:00";16272;11696;
"2023-03-20 00:00:00";13738;9073;
"2023-03-21 00:00:00";13433;8943;
"2023-03-22 00:00:00";13215;8972;
"2023-03-23 00:00:00";13115;9143;
"2023-03-24 00:00:00";14649;9858;
"2023-03-25 00:00:00";16873;11845;
"2023-03-26 00:00:00";16330;11539;
"2023-03-27 00:00:00";12857;8653;
"2023-03-28 00:00:00";13014;8479;
"2023-03-29 00:00:00";12992;8673;
"2023-03-30 00:00:00";13405;8883;
"2023-03-31 00:00:00";13664;9332;
"2023-04-01 00:00:00";15531;11003;
"2023-04-02 00:00:00";15282;10970;
"2023-04-03 00:00:00";12405;8487;
"2023-04-04 00:00:00";12572;8403;
"2023-04-05 00:00:00";12477;8564;
"2023-04-06 00:00:00";13777;9366;
"2023-04-07 00:00:00";15339;10556;
"2023-04-08 00:00:00";14771;10822;
"2023-04-09 00:00:00";14036;10479;
"2023-04-10 00:00:00";12287;8514;
"2023-04-11 00:00:00";11896;8012;
"2023-04-12 00:00:00";11954;8026;
"2023-04-13 00:00:00";11983;8075;
"2023-04-14 00:00:00";12780;8878;
"2023-04-15 00:00:00";14594;10509;
"2023-04-16 00:00:00";14171;10514;
"2023-04-17 00:00:00";11920;8364;
"2023-04-18 00:00:00";11750;8074;
"2023-04-19 00:00:00";11914;8111;
"2023-04-20 00:00:00";12927;8710;
"2023-04-21 00:00:00";13642;9287;
"2023-04-22 00:00:00";14190;10195;
"2023-04-23 00:00:00";13801;10052;
"2023-04-24 00:00:00";11699;7861;
"2023-04-25 00:00:00";11893;7925;
"2023-04-26 00:00:00";12040;7731;
"2023-04-27 00:00:00";12075;7887;
"2023-04-28 00:00:00";12594;8500;
"2023-04-29 00:00:00";14100;10136;
"2023-04-30 00:00:00";14216;10294;
"2023-05-01 00:00:00";14174;10002;
"2023-05-02 00:00:00";11241;7679;
"2023-05-03 00:00:00";11254;7449;
"2023-05-04 00:00:00";11418;6922;
"2023-05-05 00:00:00";12690;8658;
"2023-05-06 00:00:00";14564;10215;
"2023-05-07 00:00:00";14142;10223;
"2023-05-08 00:00:00";11268;7765;
"2023-05-09 00:00:00";11792;7462;
"2023-05-10 00:00:00";11627;7593;
"2023-05-11 00:00:00";12041;7783;
"2023-05-12 00:00:00";12773;8463;
"2023-05-13 00:00:00";14264;10222;
"2023-05-14 00:00:00";13933;10215;
"2023-05-15 00:00:00";11515;7770;
"2023-05-16 00:00:00";10911;7231;
"2023-05-17 00:00:00";11643;7374;
"2023-05-18 00:00:00";11219;7792;
"2023-05-19 00:00:00";12194;8313;
"2023-05-20 00:00:00";13192;9614;
"2023-05-21 00:00:00";12854;9614;
